
android  |  2hr 9min   |  27%
musically  |  1hr 58min   |  25%
whatsapp  |  0hr 45min   |  9%
ubercab  |  0hr 30min   |  6%
Call  |  0hr 24min   |  5%
maps  |  0hr 20min   |  4%
gearhead  |  0hr 16min   |  3%
lumosity  |  0hr 12min   |  2%
uk  |  0hr 7min   |  1%
shopping  |  0hr 7min   |  1%
rbs  |  0hr 6min   |  1%
One UI Home  |  0hr 5min   |  1%
music  |  0hr 3min   |  0%
sounds  |  0hr 2min   |  0%
Phone  |  0hr 2min   |  0%
duolingo  |  0hr 2min   |  0%
firstscotrail  |  0hr 2min   |  0%
evapp  |  0hr 2min   |  0%
chrome  |  0hr 1min   |  0%
stargazing  |  0hr 1min   |  0%
sleepIfUCan  |  0hr 1min   |  0%
strava  |  0hr 1min   |  0%
android  |  0hr 1min   |  0%
captiveportallogin  |  0hr 1min   |  0%
katana  |  0hr 1min   |  0%
docs  |  0hr 1min   |  0%
Clock  |  0hr 0min   |  0%
FitbitMobile  |  0hr 0min   |  0%
youtube  |  0hr 0min   |  0%
messaging  |  0hr 0min   |  0%
Camera  |  0hr 0min   |  0%
bus  |  0hr 0min   |  0%
notes  |  0hr 0min   |  0%
Calendar  |  0hr 0min   |  0%
walletnfcrel  |  0hr 0min   |  0%
Photo Editor  |  0hr 0min   |  0%
timetable  |  0hr 0min   |  0%
music  |  0hr 0min   |  0%
outlook  |  0hr 0min   |  0%
Focusath  |  0hr 0min   |  0%
finch  |  0hr 0min   |  0%
android  |  0hr 0min   |  0%
Settings  |  0hr 0min   |  0%
Gmail  |  0hr 0min   |  0%
Samsung capture  |  0hr 0min   |  0%
Google Play services  |  0hr 0min   |  0%
Permission controller  |  0hr 0min   |  0%
authenticator  |  0hr 0min   |  0%
googlequicksearchbox  |  0hr 0min   |  0%
IntentResolver  |  0hr 0min   |  0%
Key Chain  |  0hr 0min   |  0%
Google Play Store  |  0hr 0min   |  0%
Samsung account  |  0hr 0min   |  0%
android  |  0hr 0min   |  0%
Gallery  |  0hr 0min   |  0%
Samsung Keyboard  |  0hr 0min   |  0%
Software update  |  0hr 0min   |  0%
