musically,3:23:00,29%
android,3:03:00,26%
maps,1:58:00,17%
chrome,0:38:00,5%
emmx,0:17:00,2%
wordsolitaire,0:15:00,2%
ubercab,0:14:00,2%
outlook,0:13:00,2%
uk,0:12:00,1%
One UI Home,0:08:00,1%
Settings,0:06:00,0%
music,0:05:00,0%
psxandroid,0:04:00,0%
android,0:04:00,0%
youtube,0:03:00,0%
android,0:03:00,0%
newmobilebank,0:02:00,0%
Call,0:02:00,0%
docs,0:02:00,0%
appmanager,0:02:00,0%
screenrecorder,0:01:00,0%
app,0:01:00,0%
Google Play Store,0:01:00,0%
Phone,0:01:00,0%
googlequicksearchbox,0:01:00,0%
frontpage,0:01:00,0%
docs,0:01:00,0%
jellymgr,0:01:00,0%
My Files,0:00:00,0%
Clock,0:00:00,0%
lvoverseas,0:00:00,0%
ublendreact,0:00:00,0%
Studio,0:00:00,0%
discord,0:00:00,0%
sheets,0:00:00,0%
Wi-Fi tips,0:00:00,0%
Slack,0:00:00,0%
shopping,0:00:00,0%
SIM toolkit,0:00:00,0%
android,0:00:00,0%
tinder,0:00:00,0%
Samsung capture,0:00:00,0%
messaging,0:00:00,0%
Camera,0:00:00,0%
documentsui,0:00:00,0%
popupcalculator,0:00:00,0%
Android System,0:00:00,0%
tycoon,0:00:00,0%
notes,0:00:00,0%
Focusath,0:00:00,0%
Google Play services,0:00:00,0%
System UI,0:00:00,0%
Photo Editor,0:00:00,0%
Gmail,0:00:00,0%
Package installer,0:00:00,0%
Permission controller,0:00:00,0%
Gallery,0:00:00,0%
Calendar,0:00:00,0%
whatsapp,0:00:00,0%
Credential Manager,0:00:00,0%
IntentResolver,0:00:00,0%
VpnDialogs,0:00:00,0%
Galaxy Buds,0:00:00,0%
photopicker,0:00:00,0%
Nearby device scanning,0:00:00,0%
Media picker,0:00:00,0%
googleassistant,0:00:00,0%
,11:02:00,
