musically,14:10:00,38%
game,5:19:00,14%
mediaclient,5:17:00,14%
linewebtoon,5:08:00,14%
youtube,2:36:00,7%
android,0:53:00,2%
googlequicksearchbox,0:24:00,1%
juggle,0:23:00,1%
music,0:22:00,1%
scroobygoon,0:18:00,0%
whatsapp,0:14:00,0%
Gallery,0:12:00,0%
orderapp,0:10:00,0%
browser,0:08:00,0%
clockpackage,0:07:00,0%
bus,0:06:00,0%
Call,0:05:00,0%
Camera,0:04:00,0%
android,0:03:00,0%
teams,0:03:00,0%
phoenixexternal,0:03:00,0%
My Files,0:02:00,0%
walletnfcrel,0:02:00,0%
calendar,0:02:00,0%
maps,0:01:00,0%
discord,0:01:00,0%
Studio,0:01:00,0%
app,0:00:00,0%
chrome,0:00:00,0%
bank,0:00:00,0%
Settings,0:00:00,0%
One UI Home,0:00:00,0%
firstscotrail,0:00:00,0%
gm,0:00:00,0%
Phone,0:00:00,0%
keep,0:00:00,0%
Google Play Store,0:00:00,0%
documentsui,0:00:00,0%
Package installer,0:00:00,0%
Software update,0:00:00,0%
mcd,0:00:00,0%
Focusath,0:00:00,0%
shealth,0:00:00,0%
android,0:00:00,0%
Samsung account,0:00:00,0%
IntentResolver,0:00:00,0%
outlook,0:00:00,0%
Secure Folder,0:00:00,0%
System UI,0:00:00,0%
Emergency SOS,0:00:00,0%
hobbycraft,0:00:00,0%
Permission controller,0:00:00,0%
Google Play services,0:00:00,0%
photopicker,0:00:00,0%
Media picker,0:00:00,0%
Messages,0:00:00,0%
,36:14:00,
,36h 14m,
